seed_name,province,aliases,note
Nhà cổ Ba Đức,Tiền Giang,"Nhà cổ Cai Lậy|Ba Đức Ancient House","di tích kiến trúc"
Thiền viện Trúc Lâm Chánh Giác,Tiền Giang,"Chánh Giác|Trúc Lâm Chánh Giác","điểm tâm linh"
Cầu Mỹ Thuận,Tiền Giang,"Mỹ Thuận Bridge|Cầu Mỹ Thuận","công trình biểu tượng"
Vườn trái cây Cái Bè,Tiền Giang,"Cái Bè|Vườn trái cây Tiền Giang","du lịch miệt vườn"
Làng hoa kiểng Cái Mơn,Bến Tre,"Cái Mơn|Làng hoa Cái Mơn","làng hoa/vườn cây"
Sân chim Vàm Hồ,Bến Tre,"Vàm Hồ|Vam Ho Bird Sanctuary","du lịch sinh thái"
Khu du lịch Lan Vương,Bến Tre,"Lan Vương|Lan Vuong Tourist Area","du lịch sinh thái"
Khu du lịch Làng Bè,Bến Tre,"Làng Bè Bến Tre|Khu du lịch Làng Bè","du lịch sinh thái"
Cồn Quy,Bến Tre,"Cồn Quy Bến Tre|Con Quy","du lịch sông nước"
Cồn Phụng,Bến Tre,"Cồn Phụng|Đạo Dừa","du lịch sinh thái nổi tiếng"
Nhà thờ La Mã Bến Tre,Bến Tre,"La Mã Bến Tre|Nhà thờ Đức Mẹ La Mã","điểm tâm linh"
Biển Thạnh Phú,Bến Tre,"Thạnh Phú|Biển Cồn Bửng","du lịch biển"
Lăng Nguyễn Đình Chiểu,Bến Tre,"Mộ Nguyễn Đình Chiểu|Ba Tri","di tích lịch sử"
Ao Bà Om,Trà Vinh,"Ao Vuông|Ao Ba Om","danh thắng nổi tiếng Trà Vinh"
Chùa Âng,Trà Vinh,"Ang Pagoda|Chùa Âng Trà Vinh","chùa Khmer nổi tiếng"
Bảo tàng Văn hóa Khmer Trà Vinh,Trà Vinh,"Bảo tàng Khmer|Khmer Culture Museum","du lịch văn hóa"
Chùa Hang Trà Vinh,Trà Vinh,"Chùa Kompông Chrây|Chùa Hang Khmer","chùa nổi tiếng"
Biển Ba Động,Trà Vinh,"Ba Động|Bien Ba Dong","du lịch biển"
Cù lao Tân Quy,Trà Vinh,"Tân Quy|Cu lao Tan Quy","du lịch sinh thái"
Chùa Vàm Ray,Trà Vinh,"Vàm Ray|Vam Ray Pagoda","chùa Khmer lớn"
Chùa Cò,Trà Vinh,"Chùa Nodol|Chùa Cò Trà Vinh","điểm tâm linh/sinh thái"
Khu du lịch sinh thái Huỳnh Kha,Trà Vinh,"Huỳnh Kha|Huynh Kha","khu du lịch"
Chùa Dơi,Sóc Trăng,"Mahatup|Bat Pagoda|Chùa Mã Tộc","chùa nổi tiếng"
Chùa Chén Kiểu,Sóc Trăng,"Sà Lôn|Chen Kieu Pagoda","chùa Khmer nổi tiếng"
Chùa Đất Sét,Sóc Trăng,"Bửu Sơn Tự|Clay Pagoda","chùa độc đáo"
Chùa Kh'leang,Sóc Trăng,"Khleang Pagoda|Chùa Khleang","chùa Khmer cổ"
Chợ nổi Ngã Năm,Sóc Trăng,"Ngã Năm|Nga Nam Floating Market","chợ nổi nổi tiếng"
Cồn Mỹ Phước,Sóc Trăng,"Mỹ Phước|Con My Phuoc","du lịch sinh thái"
Biển Mỏ Ó,Sóc Trăng,"Mỏ Ó|Mo O Beach","du lịch biển"
Thiền viện Trúc Lâm Sóc Trăng,Sóc Trăng,"Trúc Lâm Sóc Trăng","điểm tâm linh"
Khu căn cứ Tỉnh ủy Sóc Trăng,Sóc Trăng,"Căn cứ Tỉnh ủy Sóc Trăng","di tích lịch sử"
Nhà Công tử Bạc Liêu,Bạc Liêu,"Công tử Bạc Liêu|Bac Lieu Prince House","di tích/kiến trúc nổi tiếng"
Cánh đồng điện gió Bạc Liêu,Bạc Liêu,"Điện gió Bạc Liêu|Bac Lieu Wind Farm","điểm check-in nổi tiếng"
Nhà thờ Tắc Sậy,Bạc Liêu,"Cha Diệp|Tắc Sậy","điểm hành hương nổi tiếng"
Chùa Xiêm Cán,Bạc Liêu,"Xiêm Cán|Xiem Can Pagoda","chùa Khmer nổi tiếng"
Khu lưu niệm Cao Văn Lầu,Bạc Liêu,"Cao Văn Lầu|Dạ cổ hoài lang","di tích văn hóa"
Vườn chim Bạc Liêu,Bạc Liêu,"Bird Sanctuary Bac Lieu|Vườn chim","du lịch sinh thái"
Quảng trường Hùng Vương Bạc Liêu,Bạc Liêu,"Quảng trường Bạc Liêu|Nhà hát Cao Văn Lầu","biểu tượng đô thị"
Biển Nhà Mát,Bạc Liêu,"Nhà Mát|Khu du lịch Nhà Mát","du lịch biển"
Chùa Ghositaram,Bạc Liêu,"Ghositaram Pagoda|Chùa Khmer Bạc Liêu","chùa Khmer nổi bật"
Mũi Cà Mau,Cà Mau,"Đất Mũi|Cape Ca Mau","điểm cực Nam"
Vườn quốc gia Mũi Cà Mau,Cà Mau,"Mũi Cà Mau National Park|Dat Mui","vườn quốc gia"
Vườn quốc gia U Minh Hạ,Cà Mau,"U Minh Hạ|U Minh Ha National Park","du lịch sinh thái"
Hòn Đá Bạc,Cà Mau,"Đá Bạc|Hon Da Bac","đảo/di tích"
Đầm Thị Tường,Cà Mau,"Thị Tường Lagoon|Đầm Thị Tường Cà Mau","đầm nước nổi tiếng"
Sân chim Ngọc Hiển,Cà Mau,"Ngọc Hiển|Sân chim Cà Mau","du lịch sinh thái"
Khu du lịch Khai Long,Cà Mau,"Khai Long|Biển Khai Long","du lịch biển"
Chợ nổi Cà Mau,Cà Mau,"Ca Mau Floating Market|Chợ nổi Cà Mau","chợ nổi"
Rừng đước Năm Căn,Cà Mau,"Năm Căn|Rừng đước Cà Mau","du lịch sinh thái"
Khu tưởng niệm Chủ tịch Hồ Chí Minh Cà Mau,Cà Mau,"Khu tưởng niệm Bác Hồ Cà Mau","điểm lịch sử"
Núi Cấm,An Giang,"Thiên Cấm Sơn|Nui Cam","điểm du lịch núi nổi tiếng"
Khu du lịch Lâm Viên Núi Cấm,An Giang,"Lâm Viên Núi Cấm|Núi Cấm An Giang","khu du lịch nổi tiếng"
Chùa Vạn Linh,An Giang,"Vạn Linh Núi Cấm|Van Linh Pagoda","điểm tâm linh"
Chùa Phật Lớn Núi Cấm,An Giang,"Phật Lớn Núi Cấm|Chùa Phật Lớn","điểm tâm linh"
Hồ Thủy Liêm,An Giang,"Thủy Liêm|Hồ Thủy Liêm Núi Cấm","danh thắng trên Núi Cấm"
Tượng Phật Di Lặc Núi Cấm,An Giang,"Tượng Di Lặc Núi Cấm|Di Lặc","điểm tâm linh nổi tiếng"
Cáp treo Núi Cấm,An Giang,"Cáp treo Núi Cấm|Nui Cam Cable Car","điểm du lịch"
Cáp treo Núi Sam,An Giang,"Cáp treo Núi Sam|Sam Mountain Cable Car","điểm du lịch"
Chùa Tây An,An Giang,"Tây An Cổ Tự|Chùa Tây An Núi Sam","chùa nổi tiếng"
Lăng Thoại Ngọc Hầu,An Giang,"Lăng Thoại Ngọc Hầu Núi Sam|Thoai Ngoc Hau Tomb","di tích nổi tiếng"
Chùa Hang Châu Đốc,An Giang,"Phước Điền Tự|Chùa Hang Núi Sam","chùa nổi tiếng"
Làng bè Châu Đốc,An Giang,"Làng nổi Châu Đốc|Làng bè cá Châu Đốc","du lịch sông nước"
Làng Chăm Châu Giang,An Giang,"Châu Giang|Làng Chăm An Giang","du lịch văn hóa"
Thánh đường Mubarak,An Giang,"Mubarak Mosque|Thánh đường Châu Giang","kiến trúc Hồi giáo"
Thánh đường Jamiul Azhar,An Giang,"Jamiul Azhar Mosque|Thánh đường Châu Đốc","kiến trúc Hồi giáo"
Làng dệt thổ cẩm Châu Giang,An Giang,"Dệt thổ cẩm Châu Giang|Làng nghề Châu Giang","làng nghề"
Hồ Tà Pạ,An Giang,"Hồ đá Tà Pạ|Tuyệt tình cốc An Giang","danh thắng nổi tiếng"
Đồi Tà Pạ,An Giang,"Đồi Tà Pạ|Ta Pa Hill","điểm check-in"
Chùa Tà Pạ,An Giang,"Chùa Khmer Tà Pạ|Chùa Tà Pạ Tri Tôn","điểm tâm linh"
Cánh đồng Tà Pạ,An Giang,"Cánh đồng Tà Pạ Tri Tôn","điểm check-in"
Hồ Ô Thum,An Giang,"Ô Thum|Hồ Ô Thum Tri Tôn","du lịch hồ"
Hồ Soài So,An Giang,"Soài So|Hồ Soài So Tri Tôn","du lịch hồ"
Núi Cô Tô,An Giang,"Phụng Hoàng Sơn|Núi Cô Tô Tri Tôn","núi/danh thắng"
Đồi Tức Dụp,An Giang,"Tức Dụp|Đồi Tức Dụp An Giang","di tích lịch sử"
Khu di tích Óc Eo,An Giang,"Óc Eo|Di tích Óc Eo","di tích khảo cổ"
Núi Ba Thê,An Giang,"Ba Thê|Núi Ba Thê An Giang","núi/di tích"
Kênh Vĩnh Tế,An Giang,"Vĩnh Tế|Vinh Te Canal","di tích/công trình lịch sử"
Chợ Tịnh Biên,An Giang,"Tịnh Biên Market|Chợ biên giới Tịnh Biên","chợ biên giới"
Cửa khẩu Tịnh Biên,An Giang,"Tịnh Biên Border Gate|Cửa khẩu quốc tế Tịnh Biên","cửa khẩu"
Núi Két,An Giang,"Anh Vũ Sơn|Núi Két An Giang","núi/tâm linh"
Hà Tiên,Kiên Giang,"Ha Tien|Thành phố Hà Tiên","điểm du lịch biển biên giới"
Thạch Động,Kiên Giang,"Thạch Động Hà Tiên|Thach Dong Cave","danh thắng Hà Tiên"
Núi Đá Dựng,Kiên Giang,"Đá Dựng|Núi Đá Dựng Hà Tiên","danh thắng"
Lăng Mạc Cửu,Kiên Giang,"Lăng Mạc Cửu Hà Tiên|Mac Cuu Tomb","di tích lịch sử"
Chùa Phù Dung,Kiên Giang,"Phù Dung Cổ Tự|Chùa Phù Dung Hà Tiên","điểm tâm linh"
Biển Mũi Nai,Kiên Giang,"Mũi Nai|Bãi biển Mũi Nai","bãi biển Hà Tiên"
Quần đảo Nam Du,Kiên Giang,"Nam Du|Đảo Nam Du","đảo du lịch nổi tiếng"
Hòn Sơn,Kiên Giang,"Đảo Hòn Sơn|Hon Son","đảo du lịch"
Rạch Giá,Kiên Giang,"Rach Gia|Thành phố Rạch Giá","điểm du lịch đô thị biển"
Cổng Tam Quan Rạch Giá,Kiên Giang,"Tam Quan Rạch Giá|Cổng chào Rạch Giá","biểu tượng đô thị"
Chùa Tam Bảo Rạch Giá,Kiên Giang,"Tam Bảo|Chùa Tam Bảo Kiên Giang","điểm tâm linh"
