seed_name,province,aliases,note
Hồ thủy điện Yaly,Gia Lai,"Yaly Hydropower|Thủy điện Ialy","công trình/tham quan"
Đồi chè Biển Hồ,Gia Lai,"Đồi chè Pleiku|Biển Hồ chè","điểm check-in"
Nhà rông Kon Klor,Kon Tum,"Kon Klor Communal House|Nhà rông Kon Klor","kiến trúc văn hóa"
Cầu treo Kon Klor,Kon Tum,"Kon Klor Suspension Bridge|Cầu treo Kon Klor","điểm tham quan"
Nhà thờ gỗ Kon Tum,Kon Tum,"Kon Tum Wooden Church|Nhà thờ chính tòa Kon Tum","kiến trúc nổi tiếng"
Tòa Giám mục Kon Tum,Kon Tum,"Tòa Giám mục|Kon Tum Bishop House","kiến trúc lịch sử"
Măng Đen,Kon Tum,"Mang Den|Khu du lịch Măng Đen","điểm du lịch núi"
Thác Pa Sỹ,Kon Tum,"Pa Sy Waterfall|Thác Pa Sỹ Măng Đen","thác nước"
Hồ Đăk Ke,Kon Tum,"Đăk Ke|Hồ Đăk Ke Măng Đen","hồ du lịch"
Tượng Đức Mẹ Măng Đen,Kon Tum,"Đức Mẹ Măng Đen|Mẹ Măng Đen","điểm tâm linh"
Ngã ba Đông Dương,Kon Tum,"Cột mốc ba biên|Ngã ba Đông Dương Kon Tum","điểm biên giới"
Núi Ngọc Linh,Kon Tum,"Ngọc Linh|Mount Ngoc Linh","đỉnh núi nổi tiếng"
Biển Quy Hòa,Bình Định,"Quy Hòa|Bãi biển Quy Hòa","bãi biển Quy Nhơn"
Tháp Đôi Quy Nhơn,Bình Định,"Tháp Đôi|Twin Towers Quy Nhon","di tích Chăm"
Tháp Bánh Ít,Bình Định,"Bánh Ít|Banh It Tower","di tích Chăm"
Tháp Dương Long,Bình Định,"Dương Long|Duong Long Tower","di tích Chăm"
Hòn Khô,Bình Định,"Đảo Hòn Khô|Hon Kho","đảo du lịch"
Cù Lao Xanh,Bình Định,"Cu Lao Xanh|Đảo Cù Lao Xanh","đảo du lịch"
Trung Lương,Bình Định,"Khu dã ngoại Trung Lương|Trung Luong","điểm du lịch biển"
Bãi Xép Quy Nhơn,Bình Định,"Bãi Xép|Bai Xep Quy Nhon","bãi biển"
Khu du lịch Hầm Hô,Bình Định,"Hầm Hô|Ham Ho","du lịch sinh thái"
Bảo tàng Quang Trung,Bình Định,"Quang Trung Museum|Tây Sơn","di tích/bảo tàng"
Đầm Ô Loan,Phú Yên,"O Loan Lagoon|Đầm Ô Loan Phú Yên","đầm nước nổi tiếng"
Bãi Xép Phú Yên,Phú Yên,"Bãi Xép|Bai Xep Phu Yen","bãi biển/check-in"
Nhà thờ Mằng Lăng,Phú Yên,"Mằng Lăng|Mang Lang Church","kiến trúc nổi tiếng"
Vịnh Vũng Rô,Phú Yên,"Vũng Rô|Vung Ro Bay","vịnh biển lịch sử"
Hải đăng Đại Lãnh,Phú Yên,"Đại Lãnh Lighthouse|Mũi Điện","hải đăng/cực Đông"
Bãi Môn,Phú Yên,"Bãi Môn Phú Yên|Bai Mon","bãi biển"
Tháp Nhạn,Phú Yên,"Nhan Tower|Tháp Nhạn Tuy Hòa","di tích Chăm"
Cao nguyên Vân Hòa,Phú Yên,"Vân Hòa|Van Hoa Plateau","du lịch sinh thái"
Hòn Nưa,Phú Yên,"Đảo Hòn Nưa|Hon Nua","đảo/bãi biển"
Cầu gỗ Ông Cọp,Phú Yên,"Cầu Ông Cọp|Cầu gỗ Tuy An","điểm check-in"
