seed_name,province,aliases,note
Hồ Tây,Hà Nội,"West Lake Hanoi|Hồ Tây Hà Nội","điểm tham quan Hà Nội"
Làng văn hóa các dân tộc Việt Nam,Hà Nội,"Vietnam National Village for Ethnic Culture and Tourism","du lịch văn hóa"
Khu du lịch Đại Nam,Bình Dương,"Đại Nam Văn Hiến|Dai Nam","khu du lịch lớn"
Chùa Hội Khánh,Bình Dương,"Hoi Khanh Pagoda|Chùa Hội Khánh Thủ Dầu Một","chùa nổi tiếng"
Làng tre Phú An,Bình Dương,"Phú An Bamboo Village|Làng tre Phú An","du lịch sinh thái"
Nhà thờ Phú Cường,Bình Dương,"Phu Cuong Cathedral|Nhà thờ Chánh tòa Phú Cường","kiến trúc nổi bật"
Hồ Dầu Tiếng,Bình Dương,"Dầu Tiếng Lake|Ho Dau Tieng","hồ lớn nổi tiếng"
Khu du lịch Thủy Châu,Bình Dương,"Thủy Châu|Thuy Chau Tourist Area","khu du lịch sinh thái"
Chùa Bà Thiên Hậu Bình Dương,Bình Dương,"Chùa Bà Bình Dương|Thiên Hậu Cung","điểm tâm linh"
Địa đạo Củ Chi,TP Hồ Chí Minh,"Cu Chi Tunnels|Củ Chi","di tích lịch sử"
Bảo tàng Chứng tích Chiến tranh,TP Hồ Chí Minh,"War Remnants Museum|Bảo tàng Chứng tích Chiến tranh","bảo tàng nổi tiếng"
Phố đi bộ Nguyễn Huệ,TP Hồ Chí Minh,"Nguyen Hue Walking Street|Nguyễn Huệ","điểm vui chơi trung tâm"
Bitexco Financial Tower,TP Hồ Chí Minh,"Bitexco|Saigon Skydeck","biểu tượng hiện đại"
Landmark 81,TP Hồ Chí Minh,"Landmark81|Vinhomes Central Park","biểu tượng hiện đại"
Chùa Ngọc Hoàng,TP Hồ Chí Minh,"Jade Emperor Pagoda|Chùa Phước Hải","điểm tâm linh"
Chợ Bình Tây,TP Hồ Chí Minh,"Binh Tay Market|Chợ Lớn","chợ nổi tiếng"
Phố người Hoa Chợ Lớn,TP Hồ Chí Minh,"Chợ Lớn|Chinatown Saigon","khu văn hóa nổi tiếng"
Bến Bạch Đằng,TP Hồ Chí Minh,"Bạch Đằng Wharf|Bến Bạch Đằng Sài Gòn","điểm tham quan trung tâm"
Thảo Cầm Viên Sài Gòn,TP Hồ Chí Minh,"Saigon Zoo|Thảo Cầm Viên","điểm tham quan lâu đời"
Khu du lịch Suối Tiên,TP Hồ Chí Minh,"Suoi Tien Theme Park|Suối Tiên","khu du lịch/vui chơi"
Công viên văn hóa Đầm Sen,TP Hồ Chí Minh,"Đầm Sen|Dam Sen Park","khu vui chơi"
Cần Giờ,TP Hồ Chí Minh,"Rừng Sác Cần Giờ|Cần Giờ Mangrove","du lịch sinh thái"
Đảo Thạnh An,TP Hồ Chí Minh,"Thạnh An|Thanh An Island","đảo ngoại thành"
Núi Bà Đen,Tây Ninh,"Bà Đen|Black Virgin Mountain","điểm du lịch tâm linh/núi"
Tòa Thánh Cao Đài,Tây Ninh,"Tòa thánh Tây Ninh|Cao Dai Holy See","kiến trúc/tâm linh nổi tiếng"
Ma Thiên Lãnh,Tây Ninh,"Ma Thiên Lãnh Tây Ninh","điểm du lịch thiên nhiên"
Hồ Dầu Tiếng,Tây Ninh,"Dầu Tiếng Lake Tây Ninh|Ho Dau Tieng","hồ du lịch"
Cửa khẩu Mộc Bài,Tây Ninh,"Mộc Bài|Moc Bai Border Gate","cửa khẩu nổi tiếng"
Vườn quốc gia Lò Gò Xa Mát,Tây Ninh,"Lò Gò Xa Mát|Lo Go Xa Mat National Park","vườn quốc gia"
Tháp cổ Bình Thạnh,Tây Ninh,"Tháp Bình Thạnh|Binh Thanh Tower","di tích Chăm"
Chùa Gò Kén,Tây Ninh,"Gò Kén|Chùa Thiền Lâm Gò Kén","điểm tâm linh"
Khu du lịch Bửu Long,Đồng Nai,"Bửu Long|Buu Long Tourist Area","điểm du lịch nổi tiếng Đồng Nai"
Vườn quốc gia Cát Tiên,Đồng Nai,"Cát Tiên|Cat Tien National Park","vườn quốc gia"
Thác Giang Điền,Đồng Nai,"Giang Điền|Giang Dien Waterfall","khu du lịch sinh thái"
Đá Ba Chồng,Đồng Nai,"Đá Ba Chồng Định Quán","danh thắng"
Núi Chứa Chan,Đồng Nai,"Gia Lào|Chứa Chan","núi trekking/tâm linh"
Hồ Trị An,Đồng Nai,"Tri An Lake|Hồ Trị An Đồng Nai","hồ du lịch"
Làng bưởi Tân Triều,Đồng Nai,"Tân Triều|Bưởi Tân Triều","du lịch vườn"
Khu du lịch Sơn Tiên,Đồng Nai,"Sơn Tiên|The Amazing Bay","khu vui chơi"
Cù Lao Phố,Đồng Nai,"Cù lao Phố Biên Hòa","di tích/văn hóa"
Vườn quốc gia Nam Cát Tiên,Đồng Nai,"Nam Cát Tiên|Cat Tien","du lịch sinh thái"
Hồ Mây Park,Bà Rịa - Vũng Tàu,"Hồ Mây|Ho May Park Vung Tau","khu du lịch nổi tiếng"
Mũi Nghinh Phong,Bà Rịa - Vũng Tàu,"Nghinh Phong|Mũi Nghinh Phong Vũng Tàu","điểm check-in biển"
Bãi Sau Vũng Tàu,Bà Rịa - Vũng Tàu,"Bãi Sau|Thùy Vân","bãi biển nổi tiếng"
Bãi Trước Vũng Tàu,Bà Rịa - Vũng Tàu,"Bãi Trước|Front Beach Vung Tau","bãi biển trung tâm"
Hòn Bà Vũng Tàu,Bà Rịa - Vũng Tàu,"Hòn Bà|Hon Ba Vung Tau","điểm tâm linh ven biển"
Đồi Con Heo,Bà Rịa - Vũng Tàu,"Đồi Con Heo Vũng Tàu","điểm check-in"
Marina Vũng Tàu,Bà Rịa - Vũng Tàu,"Bến du thuyền Marina|Vung Tau Marina","điểm check-in"
Long Hải,Bà Rịa - Vũng Tàu,"Biển Long Hải|Long Hai Beach","bãi biển nổi tiếng"
Dinh Cô Long Hải,Bà Rịa - Vũng Tàu,"Dinh Cô|Dinh Co Long Hai","điểm tâm linh"
Đèo Nước Ngọt,Bà Rịa - Vũng Tàu,"Đèo Nước Ngọt Long Hải","cung đường biển"
